from;to;stopstop;stopfull;fullstop;fullfull;;
AK;AKT;170;150;106;86;;
AK;AK_285;224;201;155;132;;
AKT;AK;203;185;106;86;;
AKT;BLN_323;181;164;114;96;;
AK_283;AK_285;234;211;127;99;;
AK_283;SOA;246;224;164;142;;
AK_285;AK;224;205;142;121;;
AK_285;AK_283;232;207;130;101;;
BFS;BFS_185;852;834;797;779;;
BFS;TNK_203;518;505;442;429;;
BFS_183;BFS_185;862;844;796;779;;
BFS_183;RSN;249;229;192;172;;
BFS_185;BFS;226;206;136;114;;
BFS_185;BFS_183;215;189;145;119;;
BJF;NO.SÖS;197;175;107;80;;
BJF;RGN;239;213;140;113;;
BJF_383;KJÅ;207;185;136;114;;
BJF_383;VJ;199;178;111;86;;
BJF_385;KJÅ;360;360;208;300;;
BJF_385;RGN;186;171;101;86;;
BLN;BLN_323;110;95;57;38;;
BLN;KÅ_343;269;251;205;187;;
BLN_323;AKT;151;132;92;72;;
BLN_323;BLN;283;173;138;221;;
KJÅ;BJF_383;307;284;233;210;;
KJÅ;BJF_385;275;251;196;176;;
KMB;PEA2;165;147;114;96;;
KPE;KPE_245;352;328;230;210;;
KPE;SOA_263;557;535;453;430;;
KPE_243;KPE_245;201;179;118;95;;
KPE_243;SBK;224;211;196;183;;
KPE_245;KPE;253;242;226;215;;
KPE_245;KPE_243;218;209;171;162;;
KV;KV_125;422;410;372;360;;
KV;RUT_143;212;204;162;153;;
KV_125;KV;474;447;370;343;;
KV_125;PEA;377;355;300;277;;
KÅ;KÅ_343;369;347;270;249;;
KÅ;VJ_363;550;521;459;430;;
KÅ_343;BLN;517;495;442;421;;
KÅ_343;KÅ;537;515;445;424;;
LÅK;VJ;446;419;375;348;;
LÅK;VJ_365;287;260;170;137;;
NO.DJU;NO.NK;192;171;95;62;;
NO.DJU;NO.SMS;105;95;54;38;;
NO.FGL;NO.KAT;155;140;89;72;;
NO.FGL;NO.SÖS;176;157;112;90;;
NO.KAT;NO.FGL;438;425;409;396;;
NO.KAT;NO.ROML3;227;210;122;101;;
NO.NK;NO.DJU;267;245;196;174;;
NO.ORN;NO.ROM;238;215;137;114;;
NO.ORN;NO.SMS;209;185;141;117;;
NO.ROM;NO.ORN;192;168;124;101;;
NO.ROM;NO.ROML3;232;206;143;116;;
NO.ROML3;NO.KAT;223;205;123;100;;
NO.ROML3;NO.ROM;349;320;238;209;;
NO.SMS;NO.DJU;214;193;118;90;;
NO.SMS;NO.ORN;252;228;149;126;;
NO.SÖS;BJF;202;177;117;87;;
NO.SÖS;NO.FGL;246;228;117;94;;
PEA;KV_125;378;355;306;282;;
PEA;PEA2;299;279;222;202;;
PEA2;KMB;293;273;221;200;;
PEA2;PEA;282;262;196;178;;
RGN;BJF;258;239;196;176;;
RGN;BJF_385;299;271;221;200;;
RSN;BFS_183;347;319;236;208;;
RSN;RSN_165;266;244;161;138;;
RSN_163;RSN_165;456;434;354;333;;
RSN_163;RUT;540;510;435;406;;
RSN_165;RSN;268;248;149;128;;
RSN_165;RSN_163;93;77;52;29;;
RUT;RSN_163;258;240;190;172;;
RUT;RUT_145;332;313;274;255;;
RUT_143;KV;216;187;360;187;;
RUT_143;RUT_145;517;505;420;360;;
RUT_145;RUT;183;160;300;240;;
RUT_145;RUT_143;723;710;151;240;;
SBK;KPE_243;290;300;139;240;;
SBK;SBK_225;263;360;193;300;;
SBK_223;SBK_225;404;393;213;195;;
SBK_223;TNK;361;349;330;270;;
SBK_225;SBK;206;178;330;270;;
SBK_225;SBK_223;225;330;160;270;;
SOA;AK_283;381;372;187;300;;
SOA;SOA_265;442;430;360;300;;
SOA_263;KPE;242;216;360;300;;
SOA_263;SOA_265;248;420;187;360;;
SOA_265;SOA;310;330;157;270;;
SOA_265;SOA_263;356;340;360;300;;
TNK;SBK_223;207;178;147;240;;
TNK;TNK_205;195;168;123;93;;
TNK_203;BFS;147;131;88;67;;
TNK_203;TNK_205;141;130;73;56;;
TNK_205;TNK;147;130;72;46;;
TNK_205;TNK_203;136;122;87;72;;
VJ;LÅK;123;108;62;37;;
VJ;BJF_383;123;108;62;37;;
VJ_363;KÅ;177;159;116;98;;
VJ_363;VJ_365;128;108;73;47;;
VJ_365;LÅK;137;123;87;74;;
VJ_365;VJ_363;123;108;60;28;;
;;;;;;;
name;capacity;;;;;;
AK;2;;;;;;
AKT;2;;;;;;
BLN;2;;;;;;
KMB;2;;;;;;
NO.NK;2;;;;;;
RGN;2;;;;;;
TNK;2;;;;;;
VJ;2;;;;;;
;;;;;;;
from;to;early_dep;late_dep;ideal_dep;revenue;late_arr;stops (separate with spaces)
NO.NK;AK;10;1020;520;596;5000;
NO.NK;AK;10;1020;520;590;5000;
AK;NO.NK;10;1020;520;599;5000;
AK;NO.NK;10;1020;520;600;5000;
;;;;;;;
terminus;;;;;;;
NO.NK;;;;;;;
AK;;;;;;;
